,base_market,quote_market,hedge_ratio,half_life
0,ICP-USD,EOS-USD,6.166798991350651,9.0
1,ICP-USD,ALGO-USD,32.94885381694469,8.0
2,ICP-USD,DOT-USD,0.8300795292569542,10.0
3,ETC-USD,TRX-USD,187.90437941248524,12.0
4,ETC-USD,UMA-USD,11.094616619530125,13.0
5,ETC-USD,BTC-USD,0.0005289643173968766,15.0
6,ETC-USD,ETH-USD,0.009696862947752061,5.0
7,ZEC-USD,ATOM-USD,3.241976395509866,20.0
8,ZEC-USD,BCH-USD,0.1252063508316716,14.0
9,ZEC-USD,CELO-USD,53.71494725528149,12.0
10,ZEC-USD,ENJ-USD,101.62059836409634,22.0
11,ZEC-USD,TRX-USD,288.58881354642165,15.0
12,ZEC-USD,COMP-USD,0.5598008615014095,7.0
13,ZEC-USD,XLM-USD,240.80881684668276,17.0
14,ZEC-USD,XMR-USD,0.1786783876903137,11.0
15,ZEC-USD,SUSHI-USD,29.256093426745558,17.0
16,ZEC-USD,CRV-USD,50.98934382812012,8.0
17,ZEC-USD,AAVE-USD,0.31371867412865095,14.0
18,ZEC-USD,UNI-USD,5.733634224902682,7.0
19,ZEC-USD,1INCH-USD,82.28124773397175,7.0
20,ZEC-USD,ETH-USD,0.014887239304800267,19.0
21,LINK-USD,UMA-USD,8.208938679292686,13.0
22,LINK-USD,UNI-USD,2.7600953012397333,21.0
23,ATOM-USD,FIL-USD,1.9494500706174216,14.0
24,ATOM-USD,EOS-USD,12.919088049582136,14.0
25,ATOM-USD,UMA-USD,5.251438660866894,10.0
26,ATOM-USD,DOT-USD,1.7393372866480687,9.0
27,CELO-USD,ENJ-USD,1.8903604711332396,22.0
28,CELO-USD,TRX-USD,5.366303465024471,19.0
29,CELO-USD,COMP-USD,0.010406404997786937,15.0
30,CELO-USD,XLM-USD,4.480324185512776,12.0
31,CELO-USD,EOS-USD,0.7798289287767151,14.0
32,CELO-USD,XMR-USD,0.0033242103968146447,9.0
33,CELO-USD,ADA-USD,1.4950331373178019,20.0
34,CELO-USD,BTC-USD,1.5110885376220309e-05,17.0
35,CELO-USD,CRV-USD,0.9482130177532424,13.0
36,CELO-USD,LTC-USD,0.007631653988342532,10.0
37,CELO-USD,AAVE-USD,0.005832216844740876,19.0
38,CELO-USD,UNI-USD,0.10658308550733077,16.0
39,CELO-USD,1INCH-USD,1.5293077211099106,16.0
40,CELO-USD,ETH-USD,0.00027678097809073396,22.0
41,FIL-USD,MATIC-USD,5.667085594465046,15.0
42,EOS-USD,ALGO-USD,5.33941204878371,19.0
43,EOS-USD,SUSHI-USD,0.6976720463796324,14.0
44,EOS-USD,UMA-USD,0.4061825406556766,17.0
45,EOS-USD,BTC-USD,1.9372950692785383e-05,8.0
46,EOS-USD,DOT-USD,0.13454207396820056,15.0
47,EOS-USD,UNI-USD,0.1366883948722309,6.0
48,EOS-USD,ETH-USD,0.0003549194271355166,17.0
49,XMR-USD,LTC-USD,2.295411023655322,10.0
50,SUSHI-USD,UMA-USD,0.5807081183378189,19.0
51,SUSHI-USD,BTC-USD,2.770840879799574e-05,16.0
52,SUSHI-USD,DOT-USD,0.19236765781138535,21.0
53,SUSHI-USD,DOGE-USD,13.160845805568037,16.0
54,SUSHI-USD,1INCH-USD,2.80385737812544,19.0
55,ADA-USD,UMA-USD,0.21176365502089473,12.0
56,ADA-USD,BTC-USD,1.009769123515859e-05,8.0
57,ADA-USD,ETH-USD,0.00018501488742931916,13.0
58,UMA-USD,BTC-USD,4.76184318860381e-05,18.0
59,UMA-USD,UNI-USD,0.3361152736343541,11.0
60,UMA-USD,ETH-USD,0.0008728390158192431,14.0
61,LTC-USD,AAVE-USD,0.7645846950337569,11.0
62,UNI-USD,1INCH-USD,14.348818402635185,5.0
63,UNI-USD,ETH-USD,0.0025963155313673434,12.0
64,1INCH-USD,ETH-USD,0.00018085803501693702,10.0
